İlçe,Nüfus
Çorum(Ortaköy)-1556,6264
Çorum(Osmancık)-1558,43297
Çorum(Sungurlu)-1642,48296
Çorum(Uğurludağ)-1850,5765
Denizli(Acıpayam)-1102,54888
Denizli(Babadağ)-1769,6340
Denizli(Baklan)-1881,5296
Denizli(Bekilli)-1774,6424
Denizli(Beyağaç)-1888,6197
Denizli(Bozkurt)-1889,12331
Denizli(Buldan)-1214,26630
Denizli(Çal)-1224,17889
Denizli(Çameli)-1226,17549
Denizli(Çardak)-1233,8452
Denizli(Çivril)-1257,59967
Denizli(Güney)-1371,9448
Denizli(Honaz)-1803,34074
Denizli(Kale)-1426,19202
Denizli(Merkezefendi)-2079,336818
Denizli(Pamukkale)-1871,347926
Denizli(Sarayköy)-1597,30834
Denizli(Serinhisar)-1840,14355
Denizli(Tavas)-1670,41712
Diyarbakır(Bağlar)-2040,406471
Diyarbakır(Bismil)-1195,118698
Diyarbakır(Çermik)-1249,49644
Diyarbakır(Çınar)-1253,76966
Diyarbakır(Çüngüş)-1263,10720
Diyarbakır(Dicle)-1278,36114
Diyarbakır(Eğil)-1791,21434
Diyarbakır(Ergani)-1315,136099
Diyarbakır(Hani)-1381,32519
Diyarbakır(Hazro)-1389,16093
Diyarbakır(Kayapınar)-2041,419513
Diyarbakır(Kocaköy)-1962,15355
Diyarbakır(Kulp)-1490,34357
Diyarbakır(Lice)-1504,24364
Diyarbakır(Silvan)-1624,86161
Diyarbakır(Sur)-2042,100613
Diyarbakır(Yenişehir)-2043,219759
Düzce(Akçakoca)-1116,40025
Düzce(Çilimli)-1905,19648
Düzce(Cumayeri)-1784,15214
Düzce(Gölyaka)-1794,20552
Düzce(Gümüşova)-2017,16844
Düzce(Kaynaşlı)-2031,20449
Düzce(Merkez)-1292,258484
Düzce(Yığılca)-1730,13915
Edirne(Enez)-1307,10488
Edirne(Havsa)-1385,17969
Edirne(İpsala)-1412,26148
Edirne(Keşan)-1464,83874
Edirne(Lalapaşa)-1502,6225
Edirne(Meriç)-1523,12841
Edirne(Merkez)-1295,191470
Edirne(Süloğlu)-1988,6348
Edirne(Uzunköprü)-1705,59351
Elazığ(Ağın)-1110,2610
Elazığ(Alacakaya)-1873,5831
Elazığ(Arıcak)-1762,13426
Elazığ(Baskil)-1173,11605
Elazığ(Karakoçan)-1438,28401
Elazığ(Keban)-1455,5906
Elazığ(Kovancılar)-1820,38913
Elazığ(Maden)-1506,8929
Elazığ(Merkez)-1298,451029
Elazığ(Palu)-1566,17655
Elazığ(Sivrice)-1631,7192
Erzincan(Çayırlı)-1243,8112
Erzincan(İliç)-1406,8905
Erzincan(Kemah)-1459,7363
Erzincan(Kemaliye)-1460,5170
Erzincan(Merkez)-1318,166181
Erzincan(Otlukbeli)-1977,2492
Erzincan(Refahiye)-1583,11269
Erzincan(Tercan)-1675,15653
Erzincan(Üzümlü)-1853,14078
Erzurum(Aşkale)-1153,21494
Erzurum(Aziziye)-1945,65553
Erzurum(Çat)-1235,15556
Erzurum(Hınıs)-1392,24680
Erzurum(Horasan)-1396,36519
Erzurum(İspir)-1416,14607
Erzurum(Karaçoban)-1812,22250
Erzurum(Karayazı)-1444,25543
Erzurum(Köprüköy)-1967,14204
Erzurum(Narman)-1540,12292
Erzurum(Oltu)-1550,30075
Erzurum(Olur)-1551,6262
Erzurum(Palandöken)-2044,177374
Erzurum(Pasinler)-1567,27055
